ILLUMINA HumanRef 8 V3 probe	Protein stable ID
	
	
	
	
	
	ENSP00000354687
	
	
	
	ENSP00000355046
	
	
	
	
	
	ENSP00000354499
	
	
	ENSP00000354876
	
	ENSP00000355265
	ENSP00000354632
	ENSP00000354982
	
	ENSP00000355206
	
	ENSP00000354728
	ENSP00000354961
	
	
	
	ENSP00000354813
	ENSP00000354665
	
	ENSP00000354554
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
ILMN_1780790	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
ILMN_2064902	ENSP00000427084
	
	
	
	
ILMN_1802441	
	
	
	
	
	
	
	
	
	
	
	
ILMN_1660963	ENSP00000334996
	
	
	
	
ILMN_1690352	ENSP00000362888
	
ILMN_1738132	ENSP00000448962
	
	ENSP00000480110
ILMN_2205896	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	ENSP00000480896
	
	
	ENSP00000317534
	
	
	
	
	
	ENSP00000314196
	
	ENSP00000362551
	
	
	
	
ILMN_1738132	ENSP00000006015
ILMN_2064902	ENSP00000352565
	
	
	
	
ILMN_1714252	ENSP00000309751
	
	
	
	
ILMN_1740813	ENSP00000458693
	
	
	ENSP00000454014
	
	ENSP00000413316
	
	ENSP00000479737
	
ILMN_2174023	ENSP00000485628
	
	
ILMN_1652512	ENSP00000388704
ILMN_2384513	ENSP00000388704
	
ILMN_1676067	ENSP00000231721
	
ILMN_1802441	ENSP00000233735
	
	
	
	
	
	
	
	
ILMN_1769633	ENSP00000414904
	
	
	
	
	
ILMN_1664348	ENSP00000370430
	
	ENSP00000488807
	
ILMN_2387784	ENSP00000488285
	
	
	
	ENSP00000420291
	
	
ILMN_2387784	ENSP00000488313
	
ILMN_2064902	
ILMN_1765668	ENSP00000328133
	ENSP00000419181
	ENSP00000395245
ILMN_1802441	
	
ILMN_2153495	ENSP00000341032
	
	ENSP00000406698
	
	
	
	
	ENSP00000473463
	
	
	ENSP00000350444
	
	
ILMN_2254943	ENSP00000408598
ILMN_1796785	ENSP00000408598
ILMN_2064902	ENSP00000477638
	
	
ILMN_2387784	ENSP00000487909
ILMN_1671004	ENSP00000442563
ILMN_1770553	
	
	
	
ILMN_1664348	ENSP00000443157
	
ILMN_2153495	ENSP00000386546
	ENSP00000491993
	
	
ILMN_1729894	ENSP00000478857
ILMN_1664348	ENSP00000415245
	
	
ILMN_2153495	ENSP00000386781
	
	ENSP00000308770
	
	ENSP00000462071
	
	
ILMN_2387784	
	
ILMN_2387784	
	
	
	
	
	
	ENSP00000387217
	
	
ILMN_2387784	
	
	
	
	
ILMN_1790534	ENSP00000378869
ILMN_1815238	ENSP00000378869
ILMN_1801175	ENSP00000378869
ILMN_1680777	ENSP00000378869
	
	
	
	ENSP00000425464
	
	
	ENSP00000392750
	ENSP00000446902
ILMN_2232339	ENSP00000440206
	
	
ILMN_2115777	ENSP00000310490
	
	
	
	ENSP00000427536
	
ILMN_1800512	ENSP00000216117
	ENSP00000460739
	
	
	
ILMN_2254943	ENSP00000405259
	
	
ILMN_1729894	
ILMN_2259319	
	
